f[GHz],theta[deg],phi[deg],RCS[dB]
26,-4,12,-9.2369
26,-2,12,-6.9639
26,0,12,-1.5939
26,2,12,3.2231
26,4,12,3.4101
26,6,12,0.32009
26,8,12,-1.0329
26,10,12,-3.8449
26,12,12,-10.802
26,14,12,-20.073
26,16,12,-18.515
26,18,12,-16.603
26,20,12,-24.714
26,22,12,-25.561
26,24,12,-19.383
26,26,12,-21.091
26,28,12,-19.806
26,30,12,-19.551
26,32,12,-29.884
26,34,12,-25.06
26,36,12,-23.269
26,38,12,-42.728
26,40,12,-25.063
26,42,12,-25.667
26,44,12,-24.726
26,46,12,-27.381
26,48,12,-22.426
26,50,12,-19.722
26,52,12,-32.74
26,54,12,-38.263
26,56,12,-40.508
26,58,12,-31.92
26,60,12,-25.714
26,62,12,-32.114
26,64,12,-31.05
26,66,12,-24.068
26,68,12,-25.139
26,70,12,-37.443
26,72,12,-26.048
26,74,12,-23.334
26,76,12,-21.877
26,78,12,-21.142
26,80,12,-17.97
26,82,12,-17.502
26,84,12,-20.245
26,86,12,-24.426
26,88,12,-24.879
26,90,12,-13.964
26,-90,14,-15.288
26,-88,14,-13.636
26,-86,14,-14.735
26,-84,14,-15.225
26,-82,14,-11.297
26,-80,14,-21.409
26,-78,14,-28.066
26,-76,14,-26.01
26,-74,14,-21.952
26,-72,14,-27.087
26,-70,14,-27.66
26,-68,14,-22.887
26,-66,14,-30.148
26,-64,14,-31.61
26,-62,14,-36.307
26,-60,14,-24.655
26,-58,14,-30.347
26,-56,14,-33.216
26,-54,14,-25.425
26,-52,14,-20.092
26,-50,14,-23.859
26,-48,14,-23.836
26,-46,14,-21.395
26,-44,14,-19.924
26,-42,14,-23.601
26,-40,14,-23.503
26,-38,14,-24.774
26,-36,14,-29.65
26,-34,14,-36.079
26,-32,14,-27.827
26,-30,14,-27.378
26,-28,14,-21.397
26,-26,14,-25.787
26,-24,14,-22.721
26,-22,14,-22.113
26,-20,14,-30.408
26,-18,14,-24.42
26,-16,14,-36.119
26,-14,14,-18.585
26,-12,14,-20.251
26,-10,14,-31.82
26,-8,14,-22.667
26,-6,14,-15.719
26,-4,14,-9.4789
26,-2,14,-7.0769
26,0,14,-1.5259
26,2,14,3.3351
26,4,14,3.6581
26,6,14,0.52609
26,8,14,-1.8299
26,10,14,-5.6879
26,12,14,-11.962
26,14,14,-26.151
26,16,14,-18.249
26,18,14,-18.322
26,20,14,-23.87
26,22,14,-28.098
